header,program_time,temp,height1,height2,height3,air_pressure1,air_pressure2
243,14693,20.83,0,292,291,102482.0234375,102483.25
243,15713,20.82,290,291,292,102479.96875,102482.015625
243,16730,20.84,297,295,291,102483.5625,102482.109375
243,17652,20.85,286,291,291,102483.4296875,102482.515625
243,18773,20.87,291,290,290,102482.4140625,102481.75
243,19700,20.9,291,292,291,102482.1328125,102482.625
243,20728,20.93,291,292,291,102481.7421875,102482.109375
243,21651,20.99,291,291,291,102481.7734375,102482.2109375
243,22632,21.04,291,291,291,102482.1875,102480.2890625
243,23696,21.09,291,291,291,102481.734375,102481.734375
243,24716,21.15,291,291,291,102480.3984375,102479.515625
243,25634,21.19,291,291,291,102482.0,102481.0859375
243,26654,21.25,291,291,291,102480.15625,102480.109375
243,27674,21.3,291,291,291,102479.546875,102478.4453125
243,28690,21.35,291,291,291,102480.5625,102478.640625
243,29611,21.38,291,291,291,102479.1484375,102479.234375
243,30637,21.42,291,291,291,102479.2578125,102480.171875
243,31665,21.47,291,291,291,102479.65625,102477.4453125
243,32687,21.53,291,291,291,102479.515625,102476.59375
243,33707,21.57,291,291,291,102477.640625,102479.546875
243,34631,21.62,291,291,291,102477.0,102478.9296875
243,35660,21.68,291,291,291,102477.5859375,102477.1171875
243,36690,21.74,291,291,291,102477.15625,102477.28125
243,37711,21.8,291,291,291,102478.1953125,102477.1328125
243,38632,21.86,291,291,291,102477.671875,102476.8984375
243,39654,21.93,291,291,291,102477.125,102478.0
243,40679,22.0,291,291,291,102475.078125,102477.703125
243,41699,22.08,291,291,291,102476.0703125,102475.4453125
243,42716,22.16,291,291,291,102475.84375,102474.8671875
243,43633,22.22,291,291,291,102474.0234375,102475.3515625
243,44650,22.29,291,291,291,102474.03125,102472.65625
243,45665,22.37,291,290,290,102475.8203125,102475.8359375
243,46685,22.44,290,290,291,102475.0625,102474.1796875
243,47703,22.48,291,291,291,102474.2890625,102472.8203125
243,48618,22.53,291,291,291,102472.7890625,102473.8046875
243,49630,22.57,290,291,291,102475.140625,102471.96875
243,50651,22.64,291,290,290,102472.203125,102473.4375
243,51675,22.67,291,290,290,102473.140625,102474.484375
243,52697,22.77,290,291,291,102474.125,102474.859375
243,53569,22.83,291,290,291,102472.96875,102474.1875
243,54644,22.88,290,291,290,102472.7265625,102474.109375
243,55664,22.91,290,291,291,102472.3515625,102471.9765625
243,56687,22.97,291,291,291,102472.59375,102473.1484375
243,57711,23.02,291,290,290,102473.890625,102472.5234375
243,58635,23.07,290,290,290,102472.21875,102472.796875
243,59660,23.14,290,291,291,102471.359375,102473.1875
243,60677,23.17,290,291,291,102471.65625,102471.8203125
243,61703,23.23,291,291,291,102471.9296875,102471.2890625
243,62616,23.29,291,291,291,102471.3515625,102471.9921875
243,63639,23.31,291,291,291,102470.4375,102472.59375
243,64659,23.35,291,291,291,102472.1328125,102471.671875
243,65679,23.41,291,291,291,102472.4296875,102472.0625
243,66696,23.44,291,291,291,102471.4921875,102471.828125
243,67618,23.46,291,291,291,102471.3984375,102472.0
243,68549,23.54,291,291,291,102472.234375,102470.2265625
243,69649,23.57,291,291,291,102472.4609375,102471.6484375
243,70672,23.61,291,291,291,102469.7109375,102472.109375
243,71686,23.67,291,291,291,102471.6953125,102470.2890625
243,72702,23.71,291,291,291,102471.5234375,102469.8359375
243,73615,23.74,291,291,291,102471.046875,102469.03125
