header,program_time,unixEpoch,latitude,longitude,altitude,groundSpeed,heading
241,34565,1684527174,35.1242256,138.6309172,17948,32,0
241,35614,1684527176,35.1242258,138.6309193,17225,25,0
241,37480,1684527177,35.1242248,138.6309205,17183,16,0
241,38529,1684527178,35.1242244,138.6309212,17087,13,0
241,39479,1684527179,35.1242238,138.6309215,17034,55,0
241,40338,1684527180,35.124224,138.6309192,16839,63,0
241,41484,1684527181,35.124231,138.6309063,16062,3,0
241,42539,1684527182,35.1242317,138.6309049,16221,101,0
241,43496,1684527183,35.1242324,138.6309043,16247,30,0
241,44446,1684527184,35.1242346,138.6309016,15978,24,0
241,45502,1684527185,35.1242366,138.6309015,15865,11,0
241,46453,1684527186,35.1242378,138.6309004,15679,3,0
241,47510,1684527187,35.1242382,138.6309004,15518,34,0
241,48470,1684527188,35.1242388,138.6308996,15384,25,0
241,49396,1684527189,35.1242397,138.6308979,15249,6,0
241,50490,1684527190,35.124239,138.6308982,15198,15,0
241,51549,1684527191,35.124239,138.6308981,15109,13,0
241,52511,1684527192,35.1242386,138.6308981,15151,18,0
241,53577,1684527193,35.1242384,138.6308983,15164,15,0
241,54538,1684527194,35.1242381,138.6308984,15162,11,0
241,55497,1684527195,35.124238,138.6308984,15196,26,0
241,56460,1684527196,35.1242384,138.630898,15221,40,0
241,57524,1684527197,35.1242384,138.6308981,15257,43,0
241,58490,1684527198,35.1242383,138.6308983,15297,7,0
241,59556,1684527199,35.1242383,138.6308983,15312,25,0
241,60526,1684527200,35.1242385,138.6308981,15330,18,0
241,61446,1684527201,35.1242387,138.6308979,15340,28,0
241,62555,1684527202,35.1242386,138.6308979,15376,11,0
241,63520,1684527203,35.1242385,138.6308982,15391,13,0
241,64487,1684527204,35.1242387,138.6308985,15349,17,0
241,65554,1684527205,35.1242388,138.6308986,15309,7,0
241,66523,1684527206,35.1242391,138.6308984,15247,9,0
241,67598,1684527207,35.1242395,138.6308983,15185,18,0
241,68568,1684527208,35.1242399,138.6308982,15174,10,0
241,69537,1684527209,35.12424,138.6308981,15178,13,0
241,70505,1684527210,35.1242399,138.6308979,15145,19,0
241,71471,1684527211,35.1242399,138.6308977,15131,21,0
241,72540,1684527212,35.1242399,138.6308975,15125,12,0
241,73509,1684527213,35.1242399,138.6308976,15119,38,0
